Name,Muscle Group,Equipment,Category,Aliases,Type
Hack Squat Calf Raise,legs,machine,isolation,Calf Raise Hack Squat,strength
Hack Squat Machine,legs,machine,compound,"Hack Squat, Machine Hack Squat",strength
Hack Squat Machine Close,legs,machine,compound,Close Stance Machine Hack,strength
Hatfield Squat,legs,barbell,compound,Hatfield SSB Squat,strength
Heel Elevated Back Squat,legs,barbell,compound,Back Squat Heel Raised,strength
Heel Elevated Goblet Squat,legs,dumbbell,compound,Elevated Heel Goblet Squat,strength
High Box Step Up,legs,bodyweight,compound,High Step Up BW,bodyweight
High Foot Leg Press,legs,machine,compound,High Foot Placement Leg Press,strength
High Step Up,legs,dumbbell,compound,Tall Step Up,strength
Hip 90/90 Switch,legs,bodyweight,isolation,Shin Box Switch,bodyweight
Hip Abduction Machine,legs,machine,isolation,"Abductor Machine, Seated Abduction, Hip Abductor",strength
Hip Adduction Machine,legs,machine,isolation,"Adductor Machine, Seated Adduction, Hip Adductor, Inner Thigh Machine",strength
Hip Airplane,legs,bodyweight,isolation,Standing Hip Rotation,bodyweight
Hip Circle Squat,legs,band,compound,Banded Hip Circle Squat,strength
Hip Circle Warmup,legs,band,isolation,Hip Circle Activation,strength
Hip Flexor Stretch,legs,bodyweight,isolation,"Kneeling Hip Flexor Stretch, Lunge Stretch",holds
Hip Thrust,legs,barbell,compound,"BB Hip Thrust, Barbell Hip Thrust, Barbell Glute Bridge",strength
Hip Thrust Machine Pause,legs,machine,compound,Paused Machine Hip Thrust,strength
Horizontal Leg Press,legs,machine,compound,Seated Leg Press,strength
ISO Hold Leg Curl,legs,machine,isolation,Isometric Leg Curl,holds
ISO Hold Leg Extension,legs,machine,isolation,Isometric Leg Extension,holds
Jefferson Squat,legs,barbell,compound,Jefferson Lift,strength
Kettlebell Front Rack Lunge,legs,kettlebell,compound,KB Rack Lunge,strength
Kettlebell Front Squat,legs,kettlebell,compound,"KB Front Squat, Double KB Front Squat",strength
Kettlebell Goblet Squat,legs,kettlebell,compound,KB Goblet Squat,strength
Kettlebell Hack Squat,legs,kettlebell,compound,KB Hack Squat,strength
Kettlebell Lunge,legs,kettlebell,compound,KB Lunge,strength
Kettlebell Overhead Squat,legs,kettlebell,compound,KB Overhead Squat,strength
Kettlebell Pistol Squat,legs,kettlebell,compound,KB Pistol,strength
Kettlebell Single Leg RDL,legs,kettlebell,compound,KB Single Leg RDL,strength
Kettlebell Split Squat,legs,kettlebell,compound,KB Split Squat,strength
Kettlebell Step Up,legs,kettlebell,compound,KB Step Up,strength
Kettlebell Sumo Squat,legs,kettlebell,compound,KB Sumo Squat,strength
Kettlebell Swing to Squat,legs,kettlebell,compound,KB Swing Squat,strength
KOT Squat,legs,bodyweight,compound,"Knees Over Toes Squat, Full ROM Squat",bodyweight
Lacrosse Ball Glute,legs,other,isolation,Glute Ball Release,strength
Landmine Reverse Lunge,legs,barbell,compound,Landmine Lunge,strength
Landmine Squat,legs,barbell,compound,Landmine Goblet Squat,strength
Lateral Band Walk,legs,band,compound,"Banded Lateral Walk, Side Band Walk",strength
Lateral Lunge,legs,dumbbell,compound,"Side Lunge, DB Lateral Lunge",strength
Lateral Lunge to Balance,legs,bodyweight,compound,Side Lunge Balance,bodyweight
Lateral Squat,legs,bodyweight,compound,Side Squat,bodyweight
Lateral Step Up,legs,dumbbell,compound,Side Step Up,strength
Leg Curl Drop Set,legs,machine,isolation,Drop Set Leg Curl,strength
Leg Extension,legs,machine,isolation,"Leg Ext, Quad Extension, Machine Leg Extension, Knee Extension",strength
Leg Extension Drop Set,legs,machine,isolation,Drop Set Leg Extension,strength
Leg Extension Pause,legs,machine,isolation,Paused Leg Extension,strength
Leg Press,legs,machine,compound,"Machine Leg Press, 45 Degree Leg Press",strength
Leg Press Calf Raise,legs,machine,isolation,"Calf Press, Calf Raise on Leg Press",strength
Leg Press Narrow Calf Raise,legs,machine,isolation,Narrow Calf Press,strength
Leg Press Single Leg Close Stance,legs,machine,compound,Single Leg Close Leg Press,strength
Lengthened Partial Leg Curl,legs,machine,isolation,Stretch Focused Leg Curl,strength
Lever Hip Thrust Machine,legs,machine,compound,Machine Lever Hip Thrust,strength
Lever Leg Extension,legs,machine,isolation,Machine Lever Leg Ext,strength
Lever Lying Leg Curl,legs,machine,isolation,Machine Prone Curl,strength
Lever Seated Calf Raise,legs,machine,isolation,Machine Seated Calf Lever,strength
Low Bar Squat,legs,barbell,compound,Low Bar Back Squat,strength
Lunge,legs,bodyweight,compound,"Forward Lunge, BW Lunge, Bodyweight Lunge",bodyweight
Lying Leg Curl,legs,machine,isolation,"Leg Curl, Hamstring Curl, Lying Hamstring Curl, Prone Leg Curl",strength
Machine Abduction with Lean,legs,machine,isolation,Leaning Abduction Machine,strength
Machine Abductor Pause,legs,machine,isolation,Paused Abductor Machine,strength
Machine Adduction Pause Hold,legs,machine,isolation,ISO Adductor Hold,holds
Machine Adductor Pause,legs,machine,isolation,Paused Adductor Machine,strength
Machine Calf Raise Standing,legs,machine,isolation,Standing Machine Calf,strength
Machine Hip Thrust,legs,machine,compound,Hip Thrust Machine,strength
Machine Kickback,legs,machine,isolation,Glute Kickback Machine,strength
Machine Leg Press Calf Raise Narrow,legs,machine,isolation,Narrow Stance Calf Press,strength
Machine Squat Press,legs,machine,compound,Squat Press Machine,strength
Mini Band Squat Walk,legs,band,compound,Banded Squat Walk,strength
Monster Walk,legs,band,compound,"Banded Monster Walk, Band Walk",strength
Myo Rep Leg Curl,legs,machine,isolation,Myo Reps Leg Curl,strength
Myo Rep Leg Extension,legs,machine,isolation,Myo Reps Leg Extension,strength
Narrow Stance Leg Press,legs,machine,compound,Close Stance Leg Press,strength
Natural Glute Ham Raise,legs,bodyweight,compound,Natural GHR,bodyweight
Nordic Hamstring Curl,legs,bodyweight,isolation,"Nordic Curl, Nordics, Nordic Ham Curl, NHC",bodyweight
Overhead Band Squat,legs,band,compound,Band Overhead Squat,strength
Overhead Lunge,legs,dumbbell,compound,DB Overhead Lunge,strength
Overhead Squat,legs,barbell,compound,"OHS, BB Overhead Squat",strength
Overhead Squat Bodyweight,legs,bodyweight,compound,BW Overhead Squat,bodyweight
Overhead Squat Dumbbell,legs,dumbbell,compound,DB Overhead Squat,strength
Overhead Squat from Snatch,legs,barbell,compound,Snatch to Overhead Squat,strength
Pancake Stretch,legs,bodyweight,isolation,Seated Straddle Stretch,holds
Partial Rep Leg Extension,legs,machine,isolation,Partial Leg Extension,strength
Pause Bulgarian Split Squat,legs,dumbbell,compound,Paused BSS,strength
Pause Front Squat,legs,barbell,compound,Paused Front Squat,strength
Pause Hip Thrust,legs,barbell,compound,Paused Hip Thrust,strength
Pause Leg Curl,legs,machine,isolation,Paused Leg Curl,strength
Pause Squat,legs,barbell,compound,"Paused Squat, Pause Back Squat",strength
Pendulum Kickback,legs,machine,isolation,Pendulum Glute Kickback,strength
Pendulum Squat,legs,machine,compound,Pendulum Squat Machine,strength
Pendulum Squat Close Stance,legs,machine,compound,Narrow Pendulum Squat,strength
Peterson Step Down,legs,bodyweight,isolation,Poliquin Step Down,bodyweight
Pigeon Stretch,legs,bodyweight,isolation,"Pigeon Pose, Hip Pigeon Stretch",holds
Pin Squat,legs,barbell,compound,Anderson Squat,strength
Pistol Squat,legs,bodyweight,compound,"Single Leg Squat, One Leg Squat",bodyweight
Plate Loaded Leg Press,legs,machine,compound,Plate Loaded Leg Press Machine,strength
Poliquin Step Up,legs,dumbbell,isolation,Peterson Step Up,strength
Prisoner Squat,legs,bodyweight,compound,Hands Behind Head Squat,bodyweight
Prone Dumbbell Hamstring Curl,legs,dumbbell,isolation,Prone DB Hamstring Curl,strength
Quadruped Hip Circle,legs,bodyweight,isolation,All Fours Hip Circle,bodyweight
Quadruped Rock Back,legs,bodyweight,isolation,Quad Rock Back,bodyweight
Razor Curl,legs,bodyweight,isolation,GHR Razor Curl,bodyweight
Rear Foot Elevated Hip Thrust,legs,bodyweight,compound,Elevated Hip Thrust,bodyweight
Rest Pause Squat,legs,barbell,compound,RP Squat,strength
Reverse Band Squat,legs,barbell,compound,Band Assisted Squat,strength
Reverse Hyper Single Leg,legs,machine,isolation,One Leg Reverse Hyper,strength
Reverse Lunge,legs,dumbbell,compound,"DB Reverse Lunge, Dumbbell Reverse Lunge",strength
Reverse Lunge to Knee Drive,legs,bodyweight,compound,Lunge Knee Drive,bodyweight
Reverse Nordic Curl,legs,bodyweight,isolation,Reverse Nordic,bodyweight
Reverse Nordic with Band,legs,band,isolation,Banded Reverse Nordic,strength
Reverse Sissy Squat,legs,bodyweight,isolation,Reverse Sissy,bodyweight
Reverse Sled Drag Walk,legs,other,compound,Backward Sled Drag,carry_sled
Safety Bar Squat,legs,barbell,compound,"SSB Squat, Safety Squat Bar Squat",strength
Sandbag Lunge,legs,other,compound,Sand Bag Lunge,strength
Seated Band Abduction,legs,band,isolation,Seated Banded Abduction,strength
Seated Band Leg Curl,legs,band,isolation,Banded Seated Leg Curl,strength
Seated Calf Raise,legs,machine,isolation,Seated Calf Machine,strength
Seated Calf Raise Barbell,legs,barbell,isolation,BB Seated Calf Raise Legs,strength
Seated Calf Raise Dumbbell,legs,dumbbell,isolation,DB Seated Calf Raise,strength
Seated Leg Curl,legs,machine,isolation,"Seated Hamstring Curl, Machine Seated Leg Curl",strength
Seated Machine Calf Raise ISO,legs,machine,isolation,ISO Machine Calf Raise,strength
Shrimp Squat,legs,bodyweight,compound,Single Leg Shrimp Squat,bodyweight
Side Lying Hip Abduction,legs,bodyweight,isolation,"Side Lying Leg Raise, Side Hip Raise",bodyweight
Single Leg Box Squat,legs,bodyweight,compound,One Leg Box Squat,bodyweight
Single Leg Cable Kickback,legs,cable,isolation,One Leg Cable Kickback,strength
Single Leg Cable RDL,legs,cable,compound,One Leg Cable RDL,strength
Single Leg Calf Raise,legs,bodyweight,isolation,"One Leg Calf Raise, SL Calf Raise",bodyweight
Single Leg Extension,legs,machine,isolation,"One Leg Extension, Unilateral Leg Extension",strength
Single Leg Glute Bridge,legs,bodyweight,compound,"SL Glute Bridge, One Leg Glute Bridge",bodyweight
Single Leg Hip Thrust,legs,bodyweight,compound,"One Leg Hip Thrust, SL Hip Thrust",bodyweight
Single Leg Hip Thrust Dumbbell,legs,dumbbell,compound,DB Single Leg Hip Thrust,strength
Single Leg Leg Press,legs,machine,compound,"One Leg Leg Press, Unilateral Leg Press",strength
Single Leg Lying Leg Curl,legs,machine,isolation,One Leg Lying Curl,strength
Single Leg Seated Leg Curl,legs,machine,isolation,One Leg Seated Curl,strength
Single Leg Soleus Raise,legs,bodyweight,isolation,One Leg Soleus Raise,bodyweight
Sissy Squat,legs,bodyweight,isolation,Sissy Squat Machine,bodyweight
Sissy Squat Machine Weighted,legs,machine,isolation,Weighted Machine Sissy,strength
Sissy Squat Weighted,legs,other,isolation,Weighted Sissy Squat,strength
Sissy Squat with Band,legs,band,isolation,Banded Sissy Squat,strength
Sled Drag,legs,other,compound,Sled Backward Drag,carry_sled
Sled Pull,legs,other,compound,Prowler Pull,carry_sled
Sled Push,legs,other,compound,Prowler Push,carry_sled
Slider Body Curl,legs,bodyweight,isolation,Slider Leg Curl BW,bodyweight
Sliding Leg Curl,legs,bodyweight,isolation,Slider Hamstring Curl,bodyweight
Smith Machine Bulgarian Split Squat,legs,machine,compound,Smith BSS,strength
Smith Machine Calf Raise,legs,machine,isolation,Smith Calf Raise,strength
Smith Machine Calf Raise Seated,legs,machine,isolation,Seated Smith Calf Raise,strength
Smith Machine Front Squat,legs,machine,compound,Smith Front Squat,strength
Smith Machine Hack Squat,legs,machine,compound,Smith Machine Reverse Squat,strength
Smith Machine Hip Thrust,legs,machine,compound,Smith Hip Thrust,strength
Smith Machine Lunge,legs,machine,compound,Smith Lunge,strength
Smith Machine Reverse Lunge,legs,machine,compound,Smith Reverse Lunge,strength
Smith Machine Split Squat,legs,machine,compound,Smith Split Squat,strength
Smith Machine Squat,legs,machine,compound,Smith Squat,strength
Soleus Raise,legs,bodyweight,isolation,"Seated Soleus Raise, Bent Knee Calf Raise",bodyweight
Spanish Squat,legs,band,isolation,Banded Spanish Squat,strength
Speed Squat,legs,barbell,compound,Dynamic Effort Squat,strength
Split Squat,legs,dumbbell,compound,"DB Split Squat, Static Lunge",strength
Stability Ball Hip Thrust,legs,other,compound,Swiss Ball Hip Thrust,strength
Stability Ball Leg Curl,legs,other,isolation,"Swiss Ball Leg Curl, Ball Hamstring Curl",strength
Standing Band Leg Curl,legs,band,isolation,Banded Standing Leg Curl,strength
Standing Calf Raise,legs,machine,isolation,"Calf Raise, Machine Calf Raise, Standing Calf Machine",strength
Standing Calf Raise Dumbbell,legs,dumbbell,isolation,Standing DB Calf Raise,strength
Standing Hamstring Stretch,legs,bodyweight,isolation,Standing Toe Touch,holds
Standing Leg Curl,legs,machine,isolation,"Standing Hamstring Curl, Single Leg Curl",strength
Standing Machine Calf Raise ISO,legs,machine,isolation,ISO Standing Calf Machine,strength
Standing Single Leg Curl Band,legs,band,isolation,Banded Standing Curl Single Leg,strength
Step Up,legs,dumbbell,compound,"DB Step Up, Dumbbell Step Up, Step-Up",strength
Step Up to Knee Drive,legs,dumbbell,compound,Step Up Knee Drive,strength
Stiff Leg Deadlift,legs,barbell,compound,"SLDL, Straight Leg Deadlift",strength
Sumo Leg Press,legs,machine,compound,Wide Foot Leg Press,strength
Sumo Squat,legs,dumbbell,compound,"DB Sumo Squat, Plie Squat, Sumo Dumbbell Squat",strength
Sumo Stance Calf Raise,legs,bodyweight,isolation,Wide Stance Calf Raise,bodyweight
Sumo Walk,legs,band,compound,Banded Sumo Walk,strength
Tempo Front Squat,legs,barbell,compound,Slow Front Squat,strength
Tempo Hip Thrust,legs,barbell,compound,Slow Hip Thrust,strength
Tempo Squat,legs,barbell,compound,"Tempo Back Squat, Slow Squat",strength
Tibialis Raise,legs,bodyweight,isolation,"Tib Raise, Tibialis Anterior Raise",bodyweight
Tibialis Raise Seated,legs,bodyweight,isolation,Seated Tib Raise,bodyweight
Trap Bar Jump,legs,barbell,plyometric,Hex Bar Jump Squat,strength
Trap Bar Lunge,legs,barbell,compound,Hex Bar Lunge,strength
TRX Hamstring Curl,legs,bodyweight,isolation,Suspension Hamstring Curl,bodyweight
TRX Lunge,legs,bodyweight,compound,Suspension Lunge,bodyweight
TRX Single Leg Squat,legs,bodyweight,compound,Suspension Pistol Squat,bodyweight
V Squat,legs,machine,compound,V Squat Machine,strength
Walking Lunge,legs,dumbbell,compound,"DB Walking Lunge, Dumbbell Walking Lunge",strength
Walking Lunge Overhead Barbell,legs,barbell,compound,Overhead BB Walking Lunge,strength
Walking Overhead Lunge,legs,dumbbell,compound,Overhead Walking Lunge,strength
Wall Sit,legs,bodyweight,isolation,"Wall Squat, Wall Sit Hold",holds
Weighted Pistol Squat,legs,dumbbell,compound,DB Pistol Squat,strength
Weighted Shrimp Squat,legs,dumbbell,compound,DB Shrimp Squat,strength
Weighted Tibialis Raise,legs,other,isolation,Tib Bar Raise,strength
Wide Stance Hack Squat,legs,machine,compound,Wide Hack Squat,strength
Wide Stance Leg Extension,legs,machine,isolation,Wide Leg Extension,strength
Wide Stance Leg Press,legs,machine,compound,Sumo Leg Press,strength
Zercher Lunge,legs,barbell,compound,Zercher Walking Lunge,strength
Zercher Squat,legs,barbell,compound,Zercher,strength
1.5 Rep Preacher Curl,arms,barbell,isolation,One and Half Preacher,strength
1.5 Rep Skull Crusher,arms,barbell,isolation,One and Half Skull Crusher,strength
21s Barbell Curl,arms,barbell,isolation,"21s, Twenty Ones",strength
21s Dumbbell Curl,arms,dumbbell,isolation,DB 21s,strength
Alternating Dumbbell Curl,arms,dumbbell,isolation,"Alt DB Curl, Alternating Curl",strength
Alternating Hammer Curl,arms,dumbbell,isolation,Alt Hammer Curl,strength
Axle Bar Curl,arms,barbell,isolation,Axle Curl,strength
Band Concentration Curl,arms,band,isolation,Banded Concentration Curl,strength
Band Curl,arms,band,isolation,"Resistance Band Curl, Banded Bicep Curl",strength
Band Curl 21s,arms,band,isolation,Banded 21s,strength
Band Curl Behind Back,arms,band,isolation,Behind Back Band Curl,strength
Band Hammer Curl,arms,band,isolation,Resistance Band Hammer Curl,strength
Band Overhead Extension,arms,band,isolation,Resistance Band OH Extension,strength
Band Overhead Tricep Extension,arms,band,isolation,Banded Overhead Tricep Extension,strength
Band Pushdown,arms,band,isolation,"Resistance Band Pushdown, Banded Tricep Pushdown",strength
Band Tricep Kickback,arms,band,isolation,Resistance Band Tricep Kick,strength
Banded Tricep Pushdown,arms,band,isolation,Resistance Band Tricep Pushdown,strength
Barbell Curl,arms,barbell,isolation,"BB Curl, Standing Barbell Curl, Bicep Curl, Barbell Bicep Curl",strength
Barbell Curl 21s Reverse,arms,barbell,isolation,Reverse 21s,strength
Barbell Curl Drag,arms,barbell,isolation,BB Curl Drag,strength
Barbell Overhead Tricep Extension,arms,barbell,isolation,"BB Overhead Extension, Standing BB Tricep Extension",strength
Barbell Reverse Curl EZ Bar,arms,barbell,isolation,EZ Reverse Curl,strength
Barbell Wrist Curl,arms,barbell,isolation,"BB Wrist Curl, Wrist Curl",strength
Bayesian Curl,arms,cable,isolation,"Behind Body Cable Curl, Bayesian Cable Curl",strength
Behind the Back Wrist Curl,arms,barbell,isolation,Behind Back Wrist Curl,strength
Bench Dip Weighted,arms,bodyweight,compound,Weighted Bench Dip Arms,strength
Bicep Curl Drop Set,arms,dumbbell,isolation,Drop Set DB Curl,strength
Bodyweight Dip Narrow Grip,arms,bodyweight,compound,Narrow Dip,bodyweight
Bodyweight Tricep Extension,arms,bodyweight,isolation,"BW Tricep Extension, Bodyweight Skull Crusher",bodyweight
Cable Bicep Curl 21s,arms,cable,isolation,Cable 21s,strength
Cable Concentration Curl,arms,cable,isolation,Single Arm Concentration Cable Curl,strength
Cable Concentration Curl Low,arms,cable,isolation,Low Cable Concentration Curl,strength
Cable Curl,arms,cable,isolation,"Cable Bicep Curl, Standing Cable Curl, Straight Bar Cable Curl",strength
Cable Curl Bar EZ,arms,cable,isolation,EZ Bar Cable Curl,strength
Cable Curl to Overhead Extension,arms,cable,compound,Curl to Extension Cable,strength
Cable Drag Curl,arms,cable,isolation,Cable Drag Bicep Curl,strength
Cable French Press,arms,cable,isolation,Overhead Cable French Press,strength
Cable Hammer Curl,arms,cable,isolation,"Rope Cable Curl, Rope Hammer Curl, Cable Rope Curl",strength
Cable Overhead Tricep Extension,arms,cable,isolation,"Overhead Cable Extension, Cable Overhead Extension, Rope Overhead Extension",strength
Cable Preacher Curl,arms,cable,isolation,Cable Preacher,strength
Cable Reverse Curl,arms,cable,isolation,Reverse Cable Curl,strength
Cable Skull Crusher Flat,arms,cable,isolation,Lying Cable Skull Crusher,strength
Cable Skull Crusher Incline,arms,cable,isolation,Incline Cable Skull Crusher,strength
Cable Spider Curl,arms,cable,isolation,Cable Spider Bicep Curl,strength
Cable Tricep Pushdown,arms,cable,isolation,"Tricep Pushdown, Cable Pushdown, Tricep Push Down, Pushdown, Rope Pushdown",strength
Cable Tricep Pushdown 21s,arms,cable,isolation,Pushdown 21s,strength
Cable Wrist Curl,arms,cable,isolation,Cable Wrist Flexion,strength
California Press,arms,barbell,compound,Hybrid Press,strength
Cheat Curl,arms,barbell,isolation,BB Cheat Curl,strength
Close Grip Barbell Curl,arms,barbell,isolation,"Narrow Grip BB Curl, Close Grip EZ Bar Curl",strength
Close Grip Push Up on Bench,arms,bodyweight,compound,Bench Close Grip Push Up,bodyweight
Concentration Curl,arms,dumbbell,isolation,"DB Concentration Curl, Seated Concentration Curl",strength
Cross Body Cable Curl,arms,cable,isolation,Cross Body Cable Bicep Curl,strength
Cross Body Cable Extension,arms,cable,isolation,Cross Body Pushdown,strength
Cross Body Hammer Curl,arms,dumbbell,isolation,"Cross Body Curl, Pinwheel Curl",strength
Dead Hang,arms,bodyweight,isolation,"Bar Hang, Passive Hang",holds
Decline Close Grip Bench Press,arms,barbell,compound,Decline CG Bench,strength
Decline Dumbbell Curl,arms,dumbbell,isolation,Decline DB Curl,strength
Decline EZ Bar Skull Crusher,arms,barbell,isolation,Decline EZ Skull Crusher,strength
Decline Skull Crusher,arms,barbell,isolation,Decline BB Skull Crusher,strength
Double Dumbbell Kickback,arms,dumbbell,isolation,Two Arm DB Kickback,strength
Drag Curl,arms,barbell,isolation,"Barbell Drag Curl, BB Drag Curl",strength
Dumbbell 21s Curl,arms,dumbbell,isolation,DB Twenty Ones,strength
Dumbbell Close Grip Press,arms,dumbbell,compound,"DB Close Grip Press, DB Close Grip Bench",strength
Dumbbell Curl,arms,dumbbell,isolation,"DB Curl, Standing DB Curl, Dumbbell Bicep Curl, DB Bicep Curl",strength
Dumbbell Kickback,arms,dumbbell,isolation,"Tricep Kickback, DB Kickback, DB Tricep Kickback",strength
Dumbbell Overhead Extension Two Arm Seated,arms,dumbbell,isolation,Seated Two Arm DB Extension,strength
Dumbbell Preacher Curl,arms,dumbbell,isolation,"DB Preacher Curl, Single Arm Preacher Curl",strength
Dumbbell Pronation Curl,arms,dumbbell,isolation,DB Pronation,strength
Dumbbell Pronation Supination,arms,dumbbell,isolation,DB Forearm Rotation,strength
Dumbbell Reverse Curl,arms,dumbbell,isolation,DB Reverse Curl,strength
Dumbbell Skull Crusher,arms,dumbbell,isolation,"DB Skull Crusher, Lying DB Tricep Extension",strength
Dumbbell Spider Curl,arms,dumbbell,isolation,"DB Spider Curl, Incline Prone Curl",strength
Dumbbell Tate Press,arms,dumbbell,isolation,"Tate Press, DB Tate Press",strength
Dumbbell Tricep Extension,arms,dumbbell,isolation,"DB Tricep Extension, DB Overhead Extension, Dumbbell Overhead Extension, Single Arm DB Tricep Extension",strength
Dumbbell Wrist Curl,arms,dumbbell,isolation,DB Wrist Curl,strength
EZ Bar Close Grip Press,arms,barbell,compound,EZ Close Grip Press,strength
EZ Bar Curl,arms,barbell,isolation,"EZ Curl, EZ-Bar Curl, Cambered Bar Curl",strength
EZ Bar Overhead Extension Seated,arms,barbell,isolation,Seated EZ Overhead Extension,strength
EZ Bar Spider Curl,arms,barbell,isolation,EZ Spider Curl,strength
Farmer Walk,arms,dumbbell,compound,"Farmer Carry, DB Farmer Walk, Farmer's Walk, Farmers Carry",carry_sled
Fat Grip Curl,arms,barbell,isolation,Thick Bar Curl,strength
Finger Extension,arms,band,isolation,Band Finger Extension,strength
Floor Press Dumbbell Close Grip,arms,dumbbell,compound,Close Grip DB Floor Press,strength
Floor Skull Crusher,arms,barbell,isolation,Floor Tricep Extension,strength
Grip Crush,arms,other,isolation,"Gripper, Hand Gripper, Crush Grip",strength
Hammer Curl,arms,dumbbell,isolation,"DB Hammer Curl, Dumbbell Hammer Curl, Neutral Grip Curl",strength
Hammer Curl Rope Cable,arms,cable,isolation,Cable Rope Hammer Curl,strength
Incline Cable Curl,arms,cable,isolation,Incline Cable Bicep Curl,strength
Incline DB Curl Close Grip,arms,dumbbell,isolation,Narrow Incline Curl,strength
Incline Dumbbell Curl,arms,dumbbell,isolation,"Incline DB Curl, Incline Curl",strength
Incline Dumbbell Reverse Curl,arms,dumbbell,isolation,Incline DB Reverse Curl,strength
Incline Dumbbell Tricep Extension,arms,dumbbell,isolation,Incline DB Tricep Extension,strength
Incline EZ Bar Skull Crusher,arms,barbell,isolation,Incline EZ Skull Crusher,strength
Incline Hammer Curl,arms,dumbbell,isolation,Incline DB Hammer Curl,strength
Incline Skull Crusher,arms,barbell,isolation,Incline Lying Tricep Extension,strength
Iso Lateral Machine Curl,arms,machine,isolation,ISO Machine Bicep Curl,strength
Iso Lateral Machine Extension,arms,machine,isolation,ISO Machine Tricep Extension,strength
JM Press,arms,barbell,compound,JM Press Barbell,strength
Kettlebell Bottoms Up Curl,arms,kettlebell,isolation,KB Bottoms Up Curl,strength
Kettlebell Crush Curl,arms,kettlebell,isolation,KB Crush Curl,strength
Kettlebell Curl,arms,kettlebell,isolation,"KB Curl, KB Bicep Curl",strength
Kettlebell Hammer Curl,arms,kettlebell,isolation,KB Hammer Curl,strength
Kettlebell Overhead Extension,arms,kettlebell,isolation,"KB Overhead Extension, KB Tricep Extension",strength
Kettlebell Skull Crusher,arms,kettlebell,isolation,KB Skull Crusher,strength
Kettlebell Strict Curl,arms,kettlebell,isolation,KB Strict Curl,strength
Kettlebell Tricep Press,arms,kettlebell,isolation,KB Tricep Press,strength
Lengthened Partial Incline Curl,arms,dumbbell,isolation,Stretch Focused Incline Curl,strength
Lengthened Partial Overhead Extension,arms,cable,isolation,Stretch Focused Tricep Extension,strength
Lever Seated Dip Machine,arms,machine,compound,Machine Lever Dip,strength
Low Cable Curl,arms,cable,isolation,Behind the Body Cable Curl,strength
Lying Cable Curl,arms,cable,isolation,Floor Cable Curl,strength
Lying Cable Extension,arms,cable,isolation,Floor Cable Tricep Extension,strength
Machine Curl,arms,machine,isolation,"Bicep Curl Machine, Machine Bicep Curl, Preacher Curl Machine",strength
Machine Preacher Curl,arms,machine,isolation,Machine Scott Curl,strength
Machine Tricep Dip Vertical,arms,machine,compound,Vertical Dip Machine,strength
Machine Tricep Extension,arms,machine,isolation,"Tricep Extension Machine, Machine Tricep Pushdown",strength
Mechanical Drop Set Curl,arms,dumbbell,isolation,Mechanical Dropset Curl,strength
Myo Rep Bicep Curl,arms,dumbbell,isolation,Myo Reps Curl,strength
Myo Rep Tricep Pushdown,arms,cable,isolation,Myo Reps Pushdown,strength
Overhead Cable Curl,arms,cable,isolation,"High Cable Curl, Cable Crucifix Curl",strength
Overhead Cable Extension Single Arm,arms,cable,isolation,One Arm Overhead Cable Extension,strength
Overhead EZ Bar Extension,arms,barbell,isolation,"EZ Overhead Extension, EZ Bar Tricep Extension",strength
Partial Rep Bicep Curl,arms,dumbbell,isolation,Partial Curl,strength
PJR Pullover,arms,dumbbell,isolation,PJR Tricep Pullover,strength
Plate Curl,arms,other,isolation,Weight Plate Curl,strength
Plate Pinch Hold,arms,other,isolation,"Plate Pinch, Pinch Grip Hold",holds
Preacher Curl,arms,barbell,isolation,"BB Preacher Curl, EZ Bar Preacher Curl, Scott Curl",strength
Preacher Curl Machine Reverse,arms,machine,isolation,Reverse Machine Preacher,strength
Prone Incline Curl,arms,dumbbell,isolation,Chest Supported DB Curl,strength
Prone Incline Dumbbell Tricep Extension,arms,dumbbell,isolation,Prone DB Tricep Extension,strength
Prone Incline Hammer Curl,arms,dumbbell,isolation,Chest Supported Hammer Curl,strength
Reverse Barbell Curl,arms,barbell,isolation,"Reverse BB Curl, Reverse Curl, Pronated Curl",strength
Reverse Grip Cable Curl,arms,cable,isolation,Reverse Cable Curl Arms,strength
Reverse Grip Pushdown,arms,cable,isolation,"Reverse Grip Tricep Pushdown, Underhand Pushdown",strength
Reverse Grip Skull Crusher,arms,barbell,isolation,Supinated Skull Crusher,strength
Reverse Wrist Curl,arms,barbell,isolation,"BB Reverse Wrist Curl, Wrist Extension",strength
Ring Bicep Curl,arms,bodyweight,isolation,Gymnastics Ring Curl,bodyweight
Ring Tricep Extension,arms,bodyweight,isolation,Ring Skull Crusher,bodyweight
Rolling Dumbbell Tricep Extension,arms,dumbbell,isolation,Rolling DB Extension,strength
Rope Overhead Extension Standing,arms,cable,isolation,Standing Rope Overhead Extension,strength
Scott Curl Dumbbell,arms,dumbbell,isolation,DB Scott Curl,strength
Seated Barbell Overhead Extension,arms,barbell,isolation,Seated BB Tricep Extension,strength
Seated Dumbbell Curl,arms,dumbbell,isolation,Seated DB Curl,strength
Seated Dumbbell Tricep Extension,arms,dumbbell,isolation,"Seated DB Tricep Extension, Seated Overhead DB Extension",strength
Seated EZ Bar Curl,arms,barbell,isolation,Seated EZ Curl,strength
Single Arm Cable Curl,arms,cable,isolation,One Arm Cable Curl,strength
